address,comments_num,five,four,name,one,price,three,two
三元桥曙光西里甲6号院时间国际9号楼1层19室,5869,4455,1009,硬货海鲜饭(创始店),67,113,271,67
三丰北里2号悠唐购物中心5层,5884,3753,1628,将太无二(悠唐购物中心店),52,143,381,70
紫竹院路80号(香格里拉饭店对面),5899,3541,1557,范家小馆·烤鸭馆-十里竹风(紫竹店),180,79,458,104
成府路29号五道口国际美食苑2楼(近华联商厦，北京农村商业银行隔壁),5901,2021,2376,日昌餐馆(五道口店),269,77,1004,231
东四环中路58号远洋未来汇C座2层,5916,3734,1505,南京大牌档(慈云寺远洋店),115,65,470,92
广安门内大街6号枫桦豪景西配楼(菜市口路口),5925,3499,1130,戈拿旺巴西烤肉(菜市口直营店),105,93,394,90
后沙峪镇（速8酒店西）裕民大街32号,5953,4212,1341,小吊梨汤(后沙峪店),63,92,289,48
东长安街1号东方新天地地铁楼层,5956,4476,954,汤城小厨(东方新天地店),117,94,335,74
地安门外大街前海东沿14号(近银锭桥),5974,1534,1665,聚德华天烤肉季(什刹海总店),111,118,892,175
西三环中路新兴桥东北角(新兴宾馆对面),5978,3301,1916,四川仁火锅(新兴桥店),71,96,587,103
王府井大街88号北京王府井银泰in884楼,5978,3834,1479,舌尖记忆(王府井银泰in88店),101,71,462,102
建国路91号金地中心C座3层-L310,5956,4037,1404,伊豆野菜村(金地中心店),131,149,322,62
金城坊街2号金融街购物中心1期B1层,5983,4308,1140,星怡会(金融街购物中心店),108,114,340,87
颐和园路8号畅春园美食街A20A号(海淀桥北东家全味海淀体育馆),5983,3522,1740,小吊梨汤(畅春园店),115,83,520,86
湖光北街南湖东园201号楼中福百货5楼(近南湖北路),5987,3489,1780,紫霞门韩国料理,125,142,461,108
清河中街68号华润五彩城购物中心东区5层,5984,3545,1416,院落创意菜(五彩城店),213,92,623,187
簋街东直门内大街199-201号,6014,4703,749,辣莊重庆老火锅(簋街店),154,128,308,100
五道营胡同2号(雍和宫5号线G口出),6052,4267,1274,京兆尹,85,590,341,84
柴家湾11号(红庙路口东),6051,2997,1703,蟹老宋香锅(红庙店),209,101,875,218
旧宫镇旧宫二村三台山路16号(亦庄桥北侧),6070,4294,1090,西贝莜面村(亦庄店),60,103,300,53
成府路28号五道口购物中心5楼13号(近五道口地铁站),6076,2557,1737,东来顺饭庄(五道口店),346,128,968,293
